COUNTY LONG,COUNTY,COUNTYFP,1970,1980,1990,2000,2010,2020,1970 - 1980,1980 - 1990,1990 - 2000,2000 - 2010,2010 - 2020
Aitkin County,Aitkin,001,11403,13404,12425,15301,16202,15697,17.55,-7.3,23.15,5.89,-3.12
Anoka County,Anoka,003,154556,195998,243641,298084,330844,363887,26.81,24.31,22.35,10.99,9.99
Becker County,Becker,005,24372,29336,27881,30000,32504,35183,20.37,-4.96,7.6,8.35,8.24
Beltrami County,Beltrami,007,26373,30982,34384,39650,44442,46228,17.48,10.98,15.32,12.09,4.02
Benton County,Benton,009,20841,25187,30185,34226,38451,41379,20.85,19.84,13.39,12.34,7.61
Big Stone County,Big Stone,011,7941,7716,6285,5820,5269,5166,-2.83,-18.55,-7.4,-9.47,-1.95
Blue Earth County,Blue Earth,013,52322,52314,54044,55941,64013,69112,-0.02,3.31,3.51,14.43,7.97
Brown County,Brown,015,28887,28645,26984,26911,25893,25912,-0.84,-5.8,-0.27,-3.78,0.07
Carlton County,Carlton,017,28072,29936,29259,31671,35386,36207,6.64,-2.26,8.24,11.73,2.32
Carver County,Carver,019,28310,37046,47915,70205,91042,106922,30.86,29.34,46.52,29.68,17.44
Cass County,Cass,021,17323,21050,21791,27150,28567,30066,21.51,3.52,24.59,5.22,5.25
Chippewa County,Chippewa,023,15109,14941,13228,13088,12441,12598,-1.11,-11.47,-1.06,-4.94,1.26
Chisago County,Chisago,025,17492,25717,30521,41101,53887,56621,47.02,18.68,34.66,31.11,5.07
Clay County,Clay,027,46585,49327,50422,51229,58999,65318,5.89,2.22,1.6,15.17,10.71
Clearwater County,Clearwater,029,8013,8761,8309,8423,8695,8524,9.33,-5.16,1.37,3.23,-1.97
Cook County,Cook,031,3423,4092,3868,5168,5176,5600,19.54,-5.47,33.61,0.15,8.19
Cottonwood County,Cottonwood,033,14887,14854,12694,12167,11687,11517,-0.22,-14.54,-4.15,-3.95,-1.45
Crow Wing County,Crow Wing,035,34826,41722,44249,55099,62500,66123,19.8,6.06,24.52,13.43,5.8
Dakota County,Dakota,037,139808,194279,275227,355904,398552,439882,38.96,41.67,29.31,11.98,10.37
Dodge County,Dodge,039,13037,14773,15731,17731,20087,20867,13.32,6.48,12.71,13.29,3.88
